5V,12V
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.04,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.04,33.39
6.04,33.39
6.03,33.38
6.03,33.39
6.03,33.39
6.05,33.39
6.03,33.39
6.03,33.38
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.03,33.39
6.04,33.39
6.05,33.39
6.03,33.39
6.03,33.19
6.04,32.69
6.03,31.41
6.03,29.81
6.03,29.61
6.03,29.39
6.03,29.26
6.03,29.21
6.04,29.10
6.03,29.06
6.03,28.97
6.05,28.89
6.04,28.86
6.03,28.79
6.03,28.70
6.03,28.73
6.04,28.71
6.03,28.68
6.03,28.64
6.03,28.61
6.03,28.61
6.02,28.58
6.03,28.54
6.03,28.49
6.03,28.49
6.03,28.50
6.04,28.52
6.03,28.43
6.03,28.43
6.03,28.41
6.03,28.45
6.03,28.45
6.03,28.42
6.03,28.41
6.03,28.39
6.04,28.34
6.03,28.36
6.03,28.39
6.04,28.38
6.03,28.35
6.03,28.33
6.02,28.30
6.04,28.32
6.03,28.30
6.03,28.33
6.04,28.32
6.05,28.24
6.04,28.32
6.03,28.27
6.03,28.26
6.02,28.29
6.03,28.30
6.03,28.23
6.04,28.23
6.03,28.25
6.03,28.21
6.03,28.22
6.03,28.21
6.03,28.21
6.03,28.18
6.05,28.16
6.04,28.18
6.04,28.18
6.02,28.13
6.03,28.20
6.03,28.15
6.05,28.18
6.04,28.12
6.03,28.15
6.03,28.13
6.04,28.14
6.03,28.10
6.03,28.10
6.03,28.08
6.03,28.05
6.02,28.09
6.11,28.09
6.03,28.06
6.03,28.10
6.04,28.06
6.04,28.05
6.03,28.04
6.03,28.05
6.03,28.03
6.04,27.98
6.04,28.03
6.03,27.99
6.03,27.97
6.03,27.96
6.04,27.92
6.03,27.88
6.03,27.87
6.05,27.90
6.13,27.93
6.03,27.93
6.03,27.93
6.03,27.86
6.04,27.91
6.04,27.86
6.03,27.92
6.03,27.87
6.04,27.85
6.03,27.82
6.03,27.87
6.04,27.80
6.03,27.84
6.04,27.82
6.03,27.81
6.03,27.77
6.03,27.79
6.03,27.78
6.04,27.85
6.04,27.87
6.03,27.79
6.04,27.77
6.03,27.77
6.03,27.80
6.03,27.83
6.03,27.77
6.03,27.82
6.03,27.75
6.03,27.73
6.03,27.79
6.03,27.72
6.03,27.72
6.05,27.75
6.04,27.74
6.04,27.73
6.04,27.80
6.03,27.68
6.03,27.73
6.03,27.68
6.03,27.67
6.03,27.70
6.03,27.68
6.03,27.65
6.03,27.69
6.03,27.63
6.04,27.67
6.03,27.69
6.03,27.65
6.03,27.64
6.03,27.63
6.03,27.62
6.03,27.62
6.03,27.61
6.03,27.61
6.03,27.61
6.03,27.62
6.03,27.60
6.03,27.53
6.03,27.58
6.03,27.53
6.03,27.53
6.03,27.56
6.03,27.56
6.03,27.59
6.02,27.57
6.03,27.58
6.03,27.55
6.03,27.51
6.03,27.50
6.03,27.51
6.03,27.56
6.03,27.51
6.03,29.66
6.04,29.78
6.04,29.87
6.04,29.93
6.03,29.99
6.03,30.03
6.04,30.08
6.04,30.11
6.04,30.14
6.03,30.16
6.04,30.19
6.03,30.21
6.04,30.23
6.04,30.24
6.04,30.26
6.03,30.28
6.04,30.29
6.04,30.30
6.04,30.31
6.04,30.32
6.03,30.33
6.03,30.33
6.03,30.34
6.04,30.36
6.04,30.36
6.03,30.37
6.04,30.37
6.04,30.38
6.03,30.39
6.03,30.39
6.03,30.39
6.04,30.40
6.04,30.40
6.04,30.40
6.04,30.41
6.04,30.42
6.04,30.42
6.03,30.42
6.03,30.43
6.03,30.43
6.03,30.43
6.04,30.43
6.03,30.44
6.04,30.43
6.03,30.44
6.04,30.44
6.03,30.44
6.04,30.45
6.04,30.45
6.03,30.45
6.04,30.45
6.03,30.45
6.04,30.46